Term,With subdivisions ǂx etc.,Tag,Left match bib field,Term in MARC
Coast Salish baskets,,[150],650,Coast Salish baskets
Coast Salish Indians,,[150],650,Coast Salish Indians
Coast Salish mythology,,[150],650,Coast Salish mythology
Coast Salish textile fabrics,,[150],650,Coast Salish textile fabrics
Cobaría Indians,,[150],650,Cobaría Indians
Cobaría mythology,,[150],650,Cobaría mythology
Cobaría pottery,,[150],650,Cobaría pottery
Coca Indians,,[150],650,Coca Indians
Coca language,,[150],650,Coca language
Cocama Indians,,[150],650,Cocama Indians
Cocama language,,[150],650,Cocama language
Cochise culture,,[150],650,Cochise culture
Cochiti art,,[150],650,Cochiti art
Cochiti Indians,,[150],650,Cochiti Indians
Cochiti pottery,,[150],650,Cochiti pottery
Cockburn Island First Nation,,[151],651,Cockburn Island First Nation
Cocopa Indians,,[150],650,Cocopa Indians
Cocopa language,,[150],650,Cocopa language
Cocopah Indian Reservation (Ariz.),,[151],651,Cocopah Indian Reservation (Ariz.)
Cocopah Tribe of Arizona,,[151],651,Cocopah Tribe of Arizona
Coeur d'Alene Indian Reservation (Idaho),,[151],651,Coeur d'Alene Indian Reservation (Idaho)
Coeur d'Alene Indians,,[150],650,Coeur d'Alene Indians
Coeur d'Alene language,,[150],650,Coeur d'Alene language
Coeur d'Alene mythology,,[150],650,Coeur d'Alene mythology
Coeur d'Alene Tribe,,[151],651,Coeur d'Alene Tribe
"Coeur D'Alene Tribe of the Coeur D'Alene Reservation, Idaho",,[151],651,"Coeur D'Alene Tribe of the Coeur D'Alene Reservation, Idaho"
"Coeur d'Alene War, 1858",,[150],650,"Coeur d'Alene War, 1858"
Cofán Indians,,[150],650,Cofán Indians
Cofán language,,[150],650,Cofán language
Cofán mythology,,[150],650,Cofán mythology
Cofán textile fabrics,,[150],650,Cofán textile fabrics
Coharie Tribe,,[151],651,Coharie Tribe
Cohonina culture,,[150],650,Cohonina culture
Colby Mammoth Site (Wyo.),,[151],651,Colby Mammoth Site (Wyo.)
Cold Lake First Nations,,[151],651,Cold Lake First Nations
Cold Springs Rancheria of Mono Indians of California,,[151],651,Cold Springs Rancheria of Mono Indians of California
Coldwater (First Nation),,[151],651,Coldwater (First Nation)
Colla art,,[150],650,Colla art
Colla Indians,,[150],650,Colla Indians
Colla mythology,,[150],650,Colla mythology
Colombian literature—Indian authors,y,[150],650,Colombian literature ǂx Indian authors
Colorado Indians (Ecuador),,[150],650,Colorado Indians (Ecuador)
Colorado River Indian Reservation (Ariz. and Calif.),,[151],651,Colorado River Indian Reservation (Ariz. and Calif.)
"Colorado River Indian Tribes of the Colorado River Indian Reservation, Arizona and California",,[151],651,"Colorado River Indian Tribes of the Colorado River Indian Reservation, Arizona and California"
Columbia Reservation (Wash.),,[151],651,Columbia Reservation (Wash.)
Colville dialect,,[150],650,Colville dialect
Colville Indian Reservation (Wash.),,[151],651,Colville Indian Reservation (Wash.)
Colville Indians,,[150],650,Colville Indians
Comanche beadwork,,[150],650,Comanche beadwork
Comanche Indian Tribe,,[151],651,Comanche Indian Tribe
Comanche Indians,,[150],650,Comanche Indians
Comanche Indians in mass media,,[150],650,Comanche Indians in mass media
Comanche Indians in motion pictures,,[150],650,Comanche Indians in motion pictures
Comanche language,,[150],650,Comanche language
"Comanche Nation, Oklahoma",,[151],651,"Comanche Nation, Oklahoma"
Comechingone Indians,,[150],650,Comechingone Indians
Communauté anicinape de Kitcisakik,,[151],651,Communauté anicinape de Kitcisakik
Comox Indians,,[150],650,Comox Indians
Condolence Ceremony (Iroquois rite),,[150],650,Condolence Ceremony (Iroquois rite)
Conestoga Indians,,[150],650,Conestoga Indians
"Conestoga Massacre, Pa., 1763",,[150],650,"Conestoga Massacre, Pa., 1763"
Confederated Bands of Umpqua and Calapooya Indians,,[151],651,Confederated Bands of Umpqua and Calapooya Indians
Confederated Otoe and Missouria Indian Reservation (Kan. and Neb.),,[151],651,Confederated Otoe and Missouria Indian Reservation (Kan. and Neb.)
"Confederated Salish & Kootenai Tribes of the Flathead Reservation, Montana",,[151],651,"Confederated Salish & Kootenai Tribes of the Flathead Reservation, Montana"
"Confederated Tribes and Bands of Indians, Residing in Middle Oregon",,[151],651,"Confederated Tribes and Bands of Indians, Residing in Middle Oregon"
Confederated Tribes and Bands of the Yakama Indian Nation of the Yakama Reservation,,[151],651,Confederated Tribes and Bands of the Yakama Indian Nation of the Yakama Reservation
Confederated Tribes and Bands of the Yakama Nation,,[151],651,Confederated Tribes and Bands of the Yakama Nation
"Confederated Tribes and Bands of the Yakama Nation, Washington",,[151],651,"Confederated Tribes and Bands of the Yakama Nation, Washington"
Confederated Tribes of Arapahoe and Cheyenne Indians of the Upper Arkansas River,,[151],651,Confederated Tribes of Arapahoe and Cheyenne Indians of the Upper Arkansas River
"Confederated Tribes of Coos, Lower Umpqua and Siuslaw Indians",,[151],651,"Confederated Tribes of Coos, Lower Umpqua and Siuslaw Indians"
"Confederated Tribes of the Chehalis Reservation, Washington",,[151],651,"Confederated Tribes of the Chehalis Reservation, Washington"
"Confederated Tribes of the Colville Reservation, Washington",,[151],651,"Confederated Tribes of the Colville Reservation, Washington"
"Confederated Tribes of the Coos, Lower Umpqua and Siuslaw Indians of Oregon",,[151],651,"Confederated Tribes of the Coos, Lower Umpqua and Siuslaw Indians of Oregon"
"Confederated Tribes of the Flathead, Kootenay, and Upper Pend d'Oreilles Indians",,[151],651,"Confederated Tribes of the Flathead, Kootenay, and Upper Pend d'Oreilles Indians"
"Confederated Tribes of the Goshute Reservation, Nevada and Utah",,[151],651,"Confederated Tribes of the Goshute Reservation, Nevada and Utah"
Confederated Tribes of the Grand Ronde Community of Oregon,,[151],651,Confederated Tribes of the Grand Ronde Community of Oregon
"Confederated Tribes of the Siletz Reservation, Oregon",,[151],651,"Confederated Tribes of the Siletz Reservation, Oregon"
Confederated Tribes of the Umatilla Indian Reservation,,[151],651,Confederated Tribes of the Umatilla Indian Reservation
"Confederated Tribes of the Umatilla Reservation, Oregon",,[151],651,"Confederated Tribes of the Umatilla Reservation, Oregon"
Confederated Tribes of the Warm Springs Reservation of Oregon,,[151],651,Confederated Tribes of the Warm Springs Reservation of Oregon
"Connecticut—History—French and Indian War, 1754-1763",y,[151],651,"Connecticut ǂx History ǂy French and Indian War, 1754-1763"
Conoy Indians,,[150],650,Conoy Indians
"Conquest of the Desert, Argentina, 1879",,[150],650,"Conquest of the Desert, Argentina, 1879"
Conseil de la Première Nation Abitibiwinni,,[151],651,Conseil de la Première Nation Abitibiwinni
Conseil des Atikamekw de Wemotaci,,[151],651,Conseil des Atikamekw de Wemotaci
Constance Lake (First Nation),,[151],651,Constance Lake (First Nation)
Cook's Ferry (First Nation),,[151],651,Cook's Ferry (First Nation)
"Cooking, Canadian—Nunavut style",y,[150],650,"Cooking, Canadian ǂx Nunavut style"
Coos Indians,,[150],650,Coos Indians
Coos language,,[150],650,Coos language
Coosa Indians,,[150],650,Coosa Indians
Copper Inuit,,[150],650,Copper Inuit
Copper Inuit boys,,[150],650,Copper Inuit boys
Coquille Indian Tribe,,[151],651,Coquille Indian Tribe
Coquille Indians,,[150],650,Coquille Indians
Coquille language,,[150],650,Coquille language
Coquille Tribe of Oregon,,[151],651,Coquille Tribe of Oregon
Cora dance,,[150],650,Cora dance
Cora Indians,,[150],650,Cora Indians
Cora language,,[150],650,Cora language
Cora textile fabrics,,[150],650,Cora textile fabrics
Coree Indians,,[150],650,Coree Indians
Coreguaje Indians,,[150],650,Coreguaje Indians
Coreguaje language,,[150],650,Coreguaje language
Coreguaje mythology,,[150],650,Coreguaje mythology
Corn maidens' dance,,[150],650,Corn maidens' dance
"Corpus Christi, Battle of, Argentina, 1536",,[150],650,"Corpus Christi, Battle of, Argentina, 1536"
Cortina Indian Rancheria,,[151],651,Cortina Indian Rancheria
Cortina Indian Rancheria of Wintun Indians of California,,[151],651,Cortina Indian Rancheria of Wintun Indians of California
Costa Rican literature—Indian authors,y,[150],650,Costa Rican literature ǂx Indian authors
Cote First Nation 366,,[151],651,Cote First Nation 366
Couchiching First Nation,,[151],651,Couchiching First Nation
Courts of Indian offenses,,[150],650,Courts of Indian offenses
Coushatta Tribe,,[151],651,Coushatta Tribe
Coushatta Tribe of Louisiana,,[151],651,Coushatta Tribe of Louisiana
"Covelo Indian Community of the Round Valley Reservation, California",,[151],651,"Covelo Indian Community of the Round Valley Reservation, California"
Cow Creek Band of Umpqua Indians of Oregon,,[151],651,Cow Creek Band of Umpqua Indians of Oregon
Cow Creek Band of Umpqua Tribe of Indians,,[151],651,Cow Creek Band of Umpqua Tribe of Indians
"Cow Island, Battle of, Mont., 1877",,[150],650,"Cow Island, Battle of, Mont., 1877"
Cowessess First Nation,,[151],651,Cowessess First Nation
Cowessess Indian Reserve No. 73 (Sask.),,[151],651,Cowessess Indian Reserve No. 73 (Sask.)
Cowichan (First Nation),,[151],651,Cowichan (First Nation)
Cowichan dance,,[150],650,Cowichan dance
Cowichan dialect,,[150],650,Cowichan dialect
Cowichan Indians,,[150],650,Cowichan Indians
"Cowlitz Indian Tribe, Washington",,[151],651,"Cowlitz Indian Tribe, Washington"
Cowlitz Indians,,[150],650,Cowlitz Indians
Cowlitz language,,[150],650,Cowlitz language
Cowlitz mythology,,[150],650,Cowlitz mythology
Coyaima Indians,,[150],650,Coyaima Indians
Coyote Valley Band of Pomo Indians of California,,[151],651,Coyote Valley Band of Pomo Indians of California
Cradleboards,,[150],650,Cradleboards
Craig Community Association,,[151],651,Craig Community Association
Craig Tribal Association,,[151],651,Craig Tribal Association
"Crawford's Indian Campaign, Ohio, 1782",,[150],650,"Crawford's Indian Campaign, Ohio, 1782"
Cree architecture,,[150],650,Cree architecture
Cree art,,[150],650,Cree art
Cree beadwork,,[150],650,Cree beadwork
Cree cooking,,[150],650,Cree cooking
Cree dance,,[150],650,Cree dance
Cree Indians,,[150],650,Cree Indians
Cree Indians in art,,[150],650,Cree Indians in art
Cree language,,[150],650,Cree language
Cree mythology,,[150],650,Cree mythology
Cree Nation of Chisasibi,,[151],651,Cree Nation of Chisasibi
Cree Nation of Mistissini,,[151],651,Cree Nation of Mistissini
Cree Nation of Nemaska,,[151],651,Cree Nation of Nemaska
Cree Nation of Wemindji,,[151],651,Cree Nation of Wemindji
Cree painting,,[150],650,Cree painting
Cree philosophy,,[150],650,Cree philosophy
Cree pottery,,[150],650,Cree pottery
Cree women,,[150],650,Cree women
Creek cooking,,[150],650,Creek cooking
Creek dance,,[150],650,Creek dance
Creek Indians,,[150],650,Creek Indians
Creek Indians in literature,,[150],650,Creek Indians in literature
Creek language,,[150],650,Creek language
Creek mythology,,[150],650,Creek mythology
Creek Nation,,[151],651,Creek Nation
"Creek War, 1813-1814",,[150],650,"Creek War, 1813-1814"
"Creek War, 1836",,[150],650,"Creek War, 1836"
Crees of the Waskaganish First Nation,,[151],651,Crees of the Waskaganish First Nation
Crichaná Indians,,[150],650,Crichaná Indians
"Crooked Creek, Battle of, Kan., 1859",,[150],650,"Crooked Creek, Battle of, Kan., 1859"
Cross Lake First Nation,,[151],651,Cross Lake First Nation
Crow art,,[150],650,Crow art
Crow astronomy,,[150],650,Crow astronomy
Crow beadwork,,[150],650,Crow beadwork
Crow Creek Indian Reservation (S.D.),,[151],651,Crow Creek Indian Reservation (S.D.)
"Crow Creek Sioux Tribe of the Crow Creek Reservation, South Dakota",,[151],651,"Crow Creek Sioux Tribe of the Crow Creek Reservation, South Dakota"
Crow dance,,[150],650,Crow dance
Crow Indian Reservation (Mont.),,[151],651,Crow Indian Reservation (Mont.)
Crow Indians,,[150],650,Crow Indians
Crow language,,[150],650,Crow language
Crow mythology,,[150],650,Crow mythology
Crow Tribe of Indians,,[151],651,Crow Tribe of Indians
Crow Tribe of Montana,,[151],651,Crow Tribe of Montana
Crow Village Site (Alaska),,[151],651,Crow Village Site (Alaska)
Crow women,,[150],650,Crow women
"Crown Point Expedition, N.Y., 1755",,[150],650,"Crown Point Expedition, N.Y., 1755"
Cuaiquer Indians,,[150],650,Cuaiquer Indians
Cuaiquer language,,[150],650,Cuaiquer language
Cuba—Civilization—Indian influences,y,[151],651,Cuba ǂx Civilization ǂx Indian influences
Cubeo Indians,,[150],650,Cubeo Indians
Cubeo language,,[150],650,Cubeo language
Cubeo mythology,,[150],650,Cubeo mythology
Cubeo textile fabrics,,[150],650,Cubeo textile fabrics
Cueva Indians,,[150],650,Cueva Indians
Cueva language,,[150],650,Cueva language
Cuiba Indians,,[150],650,Cuiba Indians
Cuiba language,,[150],650,Cuiba language
Cuiba mythology,,[150],650,Cuiba mythology
Cuicatec Indians,,[150],650,Cuicatec Indians
Cuicatec language,,[150],650,Cuicatec language
Cuicuilco Site (Mexico),,[151],651,Cuicuilco Site (Mexico)
Cuitlateco language,,[150],650,Cuitlateco language
Culina Indians,,[150],650,Culina Indians
Culina language,,[150],650,Culina language
Culina pottery,,[150],650,Culina pottery
Cumana Indians,,[150],650,Cumana Indians
Cumana language,,[150],650,Cumana language
Cumberland House Cree Nation,,[151],651,Cumberland House Cree Nation
Cuna art,,[150],650,Cuna art
Cuna baskets,,[150],650,Cuna baskets
Cuna goldwork,,[150],650,Cuna goldwork
Cuna Indians,,[150],650,Cuna Indians
Cuna language,,[150],650,Cuna language
Cuna mythology,,[150],650,Cuna mythology
Cuna textile fabrics,,[150],650,Cuna textile fabrics
Cuna women,,[150],650,Cuna women
Cupʹig dialect,,[150],650,Cupʹig dialect
Cupan languages,,[150],650,Cupan languages
Cupeño Indians,,[150],650,Cupeño Indians
Cupeño language,,[150],650,Cupeño language
Cupeño mythology,,[150],650,Cupeño mythology
Cupeño women,,[150],650,Cupeño women
Cupisnique Indians,,[150],650,Cupisnique Indians
Curripaco Indians,,[150],650,Curripaco Indians
Curripaco language,,[150],650,Curripaco language
Curripaco mythology,,[150],650,Curripaco mythology
Curve Lake First Nation,,[151],651,Curve Lake First Nation
Curyung Tribal Council,,[151],651,Curyung Tribal Council
Cuyapaipe Community of Diegueno Mission Indians of the Cuyapaipe Reservation,,[151],651,Cuyapaipe Community of Diegueno Mission Indians of the Cuyapaipe Reservation
Da'naxda'xw First Nation,,[151],651,Da'naxda'xw First Nation
Dainzú Site (Mexico),,[151],651,Dainzú Site (Mexico)
Dakota art,,[150],650,Dakota art
Dakota artists,,[150],650,Dakota artists
Dakota arts,,[150],650,Dakota arts
Dakota astronomy,,[150],650,Dakota astronomy
Dakota beadwork,,[150],650,Dakota beadwork
Dakota calendar,,[150],650,Dakota calendar
Dakota dance,,[150],650,Dakota dance
Dakota dolls,,[150],650,Dakota dolls
Dakota Indians,,[150],650,Dakota Indians
Dakota Indians in art,,[150],650,Dakota Indians in art
Dakota Indians in literature,,[150],650,Dakota Indians in literature
Dakota language,,[150],650,Dakota language
Dakota mythology,,[150],650,Dakota mythology
Dakota Plains (First Nation),,[151],651,Dakota Plains (First Nation)
Dakota textile fabrics,,[150],650,Dakota textile fabrics
Dakota Tipi First Nation,,[151],651,Dakota Tipi First Nation
"Dakota War, Minnesota, 1862",,[150],650,"Dakota War, Minnesota, 1862"
Dakota women,,[150],650,Dakota women
Dakubetede Indians,,[150],650,Dakubetede Indians
Dalles First Nation,,[151],651,Dalles First Nation
Damana language,,[150],650,Damana language
Dauphin River (First Nation),,[151],651,Dauphin River (First Nation)
Dâw language,,[150],650,Dâw language
Dawson First Nation,,[151],651,Dawson First Nation
Day Star (First Nation),,[151],651,Day Star (First Nation)
"Daybreak Star Indian Cultural Center (Seattle, Wash.)",,[110],610,"Daybreak Star Indian Cultural Center (Seattle, Wash.)"
Dease River (First Nation),,[151],651,Dease River (First Nation)
Death Valley Timbi-Sha Shoshone Band of California,,[151],651,Death Valley Timbi-Sha Shoshone Band of California
Death Valley Timbi-sha Shoshone Tribe,,[151],651,Death Valley Timbi-sha Shoshone Tribe
DeBlicquy Site (Nunavut),,[151],651,DeBlicquy Site (Nunavut)
Dechi Laot'i First Nations,,[151],651,Dechi Laot'i First Nations
Deer Lake (First Nation),,[151],651,Deer Lake (First Nation)
Deg Hit'an Indians,,[150],650,Deg Hit'an Indians
Deg Hit'an language,,[150],650,Deg Hit'an language
Deh Gáh Got'ie Dene First Nation,,[151],651,Deh Gáh Got'ie Dene First Nation
Dehcho First Nations,,[151],651,Dehcho First Nations
Delaware Indians,,[150],650,Delaware Indians
Delaware language,,[150],650,Delaware language
Delaware mythology,,[150],650,Delaware mythology
Delaware Nation (To 1795),,[151],651,Delaware Nation (To 1795)
"Delaware Nation, Oklahoma",,[151],651,"Delaware Nation, Oklahoma"
Delaware Tribe of Indians,,[151],651,Delaware Tribe of Indians
Delaware Tribe of Western Oklahoma,,[151],651,Delaware Tribe of Western Oklahoma
Delaware women,,[150],650,Delaware women
Deline First Nation,,[151],651,Deline First Nation
Dena'ina Indians,,[150],650,Dena'ina Indians
Dena'ina language,,[150],650,Dena'ina language
Dene Thá Indians,,[150],650,Dene Thá Indians
Dene Tha' (First Nation),,[151],651,Dene Tha' (First Nation)
Dení language (Brazil),,[150],650,Dení language (Brazil)
Deninu K'ue First Nation,,[151],651,Deninu K'ue First Nation
Dependent Indian communities,,[150],650,Dependent Indian communities
Desana baskets,,[150],650,Desana baskets
Desana Indians,,[150],650,Desana Indians
Desana language,,[150],650,Desana language
Desana mythology,,[150],650,Desana mythology
Devils Lake Sioux Tribe,,[151],651,Devils Lake Sioux Tribe
Dhegiha Indians,,[150],650,Dhegiha Indians
Diaguita Indians,,[150],650,Diaguita Indians
Diaguita pottery,,[150],650,Diaguita pottery
Diegueño baskets,,[150],650,Diegueño baskets
Diegueño Indians,,[150],650,Diegueño Indians
Diegueño pottery,,[150],650,Diegueño pottery
Diegueño textile fabrics,,[150],650,Diegueño textile fabrics
Diminished Indian reservations,,[150],650,Diminished Indian reservations
Dirty Shame Rockshelter (Or.),,[151],651,Dirty Shame Rockshelter (Or.)
Ditidaht (First Nation),,[151],651,Ditidaht (First Nation)
Ditidaht Indians,,[150],650,Ditidaht Indians
Dock-Spus Indians,,[150],650,Dock-Spus Indians
Dog Rib Rae (First Nation),,[151],651,Dog Rib Rae (First Nation)
Dogrib dance,,[150],650,Dogrib dance
Dogrib Indians,,[150],650,Dogrib Indians
Dogrib language,,[150],650,Dogrib language
Dogrib mythology,,[150],650,Dogrib mythology
Doig River First Nation,,[151],651,Doig River First Nation
Dokis First Nation,,[151],651,Dokis First Nation
Dominican Republic—Civilization—Indian influences,y,[151],651,Dominican Republic ǂx Civilization ǂx Indian influences
Doraskean languages,,[150],650,Doraskean languages
Double Ditch State Historic Site (N.D.),,[151],651,Double Ditch State Historic Site (N.D.)
Douglas (First Nation),,[151],651,Douglas (First Nation)
Douglas Indian Association,,[151],651,Douglas Indian Association
Dreamcatchers,,[150],650,Dreamcatchers
Dresslerville Indian Colony (Nev.),,[151],651,Dresslerville Indian Colony (Nev.)
Driftpile Cree Nation,,[151],651,Driftpile Cree Nation
"Dry Creek Rancheria Band of Pomo Indians, California",,[151],651,"Dry Creek Rancheria Band of Pomo Indians, California"
Dry Creek Rancheria of Pomo Indians of California,,[151],651,Dry Creek Rancheria of Pomo Indians of California
Dry Creek Site (Alaska),,[151],651,Dry Creek Site (Alaska)
Duck Valley Indian Reservation (Idaho and Nev.),,[151],651,Duck Valley Indian Reservation (Idaho and Nev.)
Duckwater Reservation (Nev.),,[151],651,Duckwater Reservation (Nev.)
"Duckwater Shoshone Tribe of the Duckwater Reservation, Nevada",,[151],651,"Duckwater Shoshone Tribe of the Duckwater Reservation, Nevada"
Dudley Indians,,[150],650,Dudley Indians
Duncan's First Nation,,[151],651,Duncan's First Nation
Duwamish Indians,,[150],650,Duwamish Indians
Duwamish Tribe,,[151],651,Duwamish Tribe
Dzawada̲'enux̲w First Nation,,[151],651,Dzawada̲'enux̲w First Nation
Eabametoong First Nation,,[151],651,Eabametoong First Nation
Eagle dance,,[150],650,Eagle dance
Eagle Lake First Nation,,[151],651,Eagle Lake First Nation
Eagle Village First Nation - Kipawa,,[151],651,Eagle Village First Nation - Kipawa
East Prairie Metis Colony (Alta.),,[151],651,East Prairie Metis Colony (Alta.)
East Prairie Metis Settlement (Alta.),,[151],651,East Prairie Metis Settlement (Alta.)
Eastern Band of Cherokee Indians,,[151],651,Eastern Band of Cherokee Indians
"Eastern Indians, Wars with, 1722-1726",,[150],650,"Eastern Indians, Wars with, 1722-1726"
Eastern Pomo language,,[150],650,Eastern Pomo language
Eastern Shawnee Tribe of Oklahoma,,[151],651,Eastern Shawnee Tribe of Oklahoma
"Eastern Shoshone Tribe of the Wind River Reservation, Wyoming",,[151],651,"Eastern Shoshone Tribe of the Wind River Reservation, Wyoming"
Eastgate points,,[150],650,Eastgate points
Eastmain (First Nation),,[151],651,Eastmain (First Nation)
Ebb and Flow (First Nation),,[151],651,Ebb and Flow (First Nation)
Echota Cherokee Tribe of Alabama,,[151],651,Echota Cherokee Tribe of Alabama
Ecuador—Civilization—Indian influences,y,[151],651,Ecuador ǂx Civilization ǂx Indian influences
Eel Ground First Nation,,[151],651,Eel Ground First Nation
Eel River Band of Miami Indians,,[151],651,Eel River Band of Miami Indians
Eel River Bar First Nation,,[151],651,Eel River Bar First Nation
Eel River Bar Indian Reserve (N.B.),,[151],651,Eel River Bar Indian Reserve (N.B.)
Effigy pottery,,[150],650,Effigy pottery
Egegik Village,,[151],651,Egegik Village
Ehattesaht (First Nation),,[151],651,Ehattesaht (First Nation)
Eklutna Native Village,,[151],651,Eklutna Native Village
Ekwok Village,,[151],651,Ekwok Village
Elbow-stones,,[150],650,Elbow-stones
"Elem Indian Colony of Pomo Indians of the Sulphur Bank Rancheria, California",,[151],651,"Elem Indian Colony of Pomo Indians of the Sulphur Bank Rancheria, California"
"Elk Valley Rancheria, California",,[151],651,"Elk Valley Rancheria, California"
Elko Colony (Nev.),,[151],651,Elko Colony (Nev.)
Elsipogtog First Nation,,[151],651,Elsipogtog First Nation
Ely Shoshone Tribe of Nevada,,[151],651,Ely Shoshone Tribe of Nevada
Embera art,,[150],650,Embera art
Embera baskets,,[150],650,Embera baskets
Embera Indians,,[150],650,Embera Indians
Embera mythology,,[150],650,Embera mythology
Embera philosophy,,[150],650,Embera philosophy
Embroidery—Arctic regions,y,[150],650,Embroidery ǂz Arctic regions
Emerillon Indians,,[150],650,Emerillon Indians
Emerillon language,,[150],650,Emerillon language
Emmonak Village,,[151],651,Emmonak Village
Encomiendas (Latin America),,[150],650,Encomiendas (Latin America)
English Bay (Alaska),,[151],651,English Bay (Alaska)
English language—Foreign words and phrases—Algonquian,y,[150],650,English language ǂx Foreign words and phrases ǂx Algonquian
English language—Foreign words and phrases—Indian,y,[150],650,English language ǂx Foreign words and phrases ǂx Indian
English language—Study and teaching (Elementary)—Indian speakers,y,[150],650,English language ǂx Study and teaching (Elementary) ǂx Indian speakers
English language—Study and teaching (Elementary)—Inuit speakers,y,[150],650,English language ǂx Study and teaching (Elementary) ǂx Inuit speakers
English language—Study and teaching (Primary)—Eskimo speakers,y,[150],650,English language ǂx Study and teaching (Primary) ǂx Eskimo speakers
English language—Study and teaching (Primary)—Inuit speakers,y,[150],650,English language ǂx Study and teaching (Primary) ǂx Inuit speakers
English language—Study and teaching—Eskimo speakers,y,[150],650,English language ǂx Study and teaching ǂx Eskimo speakers
English language—Study and teaching—Inuit speakers,y,[150],650,English language ǂx Study and teaching ǂx Inuit speakers
English literature—Indian influences,y,[150],650,English literature ǂx Indian influences
English literature—Maya authors,y,[150],650,English literature ǂx Maya authors
English literature—Mayan influences,y,[150],650,English literature ǂx Mayan influences
English River First Nation,,[151],651,English River First Nation
English River Indian Reserve No. 21 (Ont.),,[151],651,English River Indian Reserve No. 21 (Ont.)
Eno Indians,,[150],650,Eno Indians
Enoch Cree Nation #440,,[151],651,Enoch Cree Nation #440
Enterprise Rancheria of Maidu Indians of California,,[151],651,Enterprise Rancheria of Maidu Indians of California
Entiat Indians,,[150],650,Entiat Indians
Epena Saija Indians,,[150],650,Epena Saija Indians
Epena Saija language,,[150],650,Epena Saija language
Erie Indians,,[150],650,Erie Indians
Ermineskin Tribe,,[151],651,Ermineskin Tribe
Ese Ejja Indians,,[150],650,Ese Ejja Indians
Ese Ejja language,,[150],650,Ese Ejja language
Esgenoopetitj First Nation,,[151],651,Esgenoopetitj First Nation
Esk'etemc (First Nation),,[151],651,Esk'etemc (First Nation)
Eskasoni (First Nation),,[151],651,Eskasoni (First Nation)
Eskimo architecture,,[150],650,Eskimo architecture
Eskimo art,,[150],650,Eskimo art
Eskimo artists,,[150],650,Eskimo artists
Eskimo arts,,[150],650,Eskimo arts
Eskimo baskets,,[150],650,Eskimo baskets
Eskimo boys,,[150],650,Eskimo boys
Eskimo business enterprises,,[150],650,Eskimo business enterprises
Eskimo cartography,,[150],650,Eskimo cartography
Eskimo children,,[150],650,Eskimo children
Eskimo college teachers,,[150],650,Eskimo college teachers
Eskimo cooking,,[150],650,Eskimo cooking
Eskimo craft,,[150],650,Eskimo craft
Eskimo curlew,,[150],650,Eskimo curlew
Eskimo dance,,[150],650,Eskimo dance
Eskimo dolls,,[150],650,Eskimo dolls
Eskimo drawing,,[150],650,Eskimo drawing
Eskimo embroidery,,[150],650,Eskimo embroidery
Eskimo Lakes (N.W.T.),,[151],651,Eskimo Lakes (N.W.T.)
Eskimo languages,,[150],650,Eskimo languages
Eskimo leatherwork,,[150],650,Eskimo leatherwork
Eskimo literature,,[150],650,Eskimo literature
Eskimo masks,,[150],650,Eskimo masks
Eskimo mythology,,[150],650,Eskimo mythology
Eskimo newspapers,,[150],650,Eskimo newspapers
Eskimo painting,,[150],650,Eskimo painting
Eskimo periodicals,,[150],650,Eskimo periodicals
Eskimo philosophy,,[150],650,Eskimo philosophy
Eskimo poetry,,[150],650,Eskimo poetry
Eskimo prints,,[150],650,Eskimo prints
Eskimo sculpture,,[150],650,Eskimo sculpture
Eskimo women,,[150],650,Eskimo women
Eskimo youth,,[150],650,Eskimo youth
Eskimos,,[150],650,Eskimos
Eskimos in art,,[150],650,Eskimos in art
Eskimos in literature,,[150],650,Eskimos in literature
Eskimos in medicine,,[150],650,Eskimos in medicine
Eskimos in motion pictures,,[150],650,Eskimos in motion pictures
Esopus Indians,,[150],650,Esopus Indians
Esquimalt (First Nation),,[151],651,Esquimalt (First Nation)
Esselen Indians,,[150],650,Esselen Indians
Esselen language,,[150],650,Esselen language
Ethnology—Central America,y,[150],650,Ethnology ǂz Central America
Ethnology—Mexico,y,[150],650,Ethnology ǂz Mexico
Ethnology—North America,y,[150],650,Ethnology ǂz North America
Ethnology—South America,y,[150],650,Ethnology ǂz South America
Ethnomathematics,,[150],650,Ethnomathematics
Etowah Indian Mound State Historic Site (Ga.),,[151],651,Etowah Indian Mound State Historic Site (Ga.)
Eudeve language,,[150],650,Eudeve language
Europe—Civilization—Indian influences,y,[151],651,Europe ǂx Civilization ǂx Indian influences
Evansville Village,,[151],651,Evansville Village
"Ewiiaapaayp Band of Kumeyaay Indians, California",,[151],651,"Ewiiaapaayp Band of Kumeyaay Indians, California"
Ex-slaves of Indian tribes,,[150],650,Ex-slaves of Indian tribes
Executive order Indian reservations,,[150],650,Executive order Indian reservations
Extinguishment of Indian title,,[150],650,Extinguishment of Indian title
Eyak Indians,,[150],650,Eyak Indians
Eyak language,,[150],650,Eyak language
"Fables, Nahuatl",,[150],650,"Fables, Nahuatl"
"Fallen Timbers, Battle of, Ohio, 1794",,[150],650,"Fallen Timbers, Battle of, Ohio, 1794"
Fallon Indian Reservation (Nev.),,[151],651,Fallon Indian Reservation (Nev.)
Federal aid to Indians,,[150],650,Federal aid to Indians
Federal-Indian trust relationship,,[150],650,Federal-Indian trust relationship
Federally recognized Indian tribes,,[150],650,Federally recognized Indian tribes
